name,actual_price,discount_price,rating
Hp EliteBook 840 Intel Core I7- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 600,000","₦ 550,000",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 550,300","₦ 375,000",3.7 out of 5(3)
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,"₦ 100,000",3.9 out of 5(7)
"DELL LATITUDE 3180 CHROMEBOOK, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 100,000","₦ 90,000",
DELL Latitude 3150 Intel Pentium 500GB HDD 8GB RAM Wins 10 Pro,"₦ 190,000","₦ 160,000",
"Asus Notebook Intel Celeron 4GB RAM 256GB SSD 14.0"" HD Backlit Keyboard Wins 11+ Headset","₦ 250,000","₦ 237,000",5 out of 5(2)
"DELL Chromebook - 14"" - Celeron - 4GB RAM - 32GB EMMC + Flash",,"₦ 119,000",
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 210,000","₦ 170,000",4.3 out of 5(3)
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 10 Pro + BAG,"₦ 590,000","₦ 380,000",5 out of 5(2)
"Lenovo Intel Celeron 4gb Ram 64gb Emmc, Wins 10 11.6""","₦ 187,000","₦ 175,990",
"Hp 14 10th Gen Intel Core I3 2.1 To 4.1Ghz, 12gb Ram, 1TB HDD Wins 10",,"₦ 395,000",
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 10 Pro + BAG,"₦ 450,000","₦ 395,000",
Lenovo Ideapad 15 Inch Intel® Celeron® 4GB RAM DDR4 - 256 SSD Windows 11 +USB LIGHT & 32GB Flash,"₦ 290,000","₦ 250,000",3.5 out of 5(2)
"DELL CHROMEBOOK, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 120,000","₦ 90,000",
"DELL Latitude Convertible Intel Pentium 512gb SSD, 8GB Ram Touch Win10+pouch","₦ 200,000","₦ 175,000",
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel PENTIUM QUAD CORE WIN10 Pro +Mouse &USB Light,,"₦ 210,000",
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 370,000","₦ 190,000",
Hp Probook 11X360 Touchsceen Intel Pentium 256gb Ssd /4gb Ram+32GB Flash Mouse,"₦ 255,000","₦ 170,000",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Hp Stream 11 Laptop-  Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,"₦ 170,000","₦ 103,000",4.1 out of 5(14)
DELL Latitude 3160 Touchscreen Intel Celeron 128ssd  4GB RAM Wins 10 + Flash Light,"₦ 200,000","₦ 135,000",5 out of 5(2)
"Hp CHROMEBOOK 14 INTEL CELERON, 4GB RAM 32GB SSD + Keyboard Flashlight","₦ 200,000","₦ 110,000",4 out of 5(1)
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB SSD WIN 10+ Mouse & USB LIGHT FOR Keyboard,"₦ 135,000","₦ 105,000",5 out of 5(1)
Lenovo Ideapad 14-inch - AMD Quad Core 64GB SSD - 4GB RAM Windows 10 +MOUSE & USB Light For Keyboard,"₦ 300,000","₦ 190,000",
"Asus TUF DASH INTEL CORE I5, 16GB RAM, 512GB SSD 15.6"" GTX 1650 (4GB) WINS 10","₦ 850,000","₦ 733,500",4.5 out of 5(2)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 500,999","₦ 375,000",5 out of 5(1)
DELL Vostro 15 Hybrid- 1TB + 256GB SSHD- 12GB RAM- Intel Core I3- 11TH Gen- Windows 11 + MOUSE,"₦ 400,000","₦ 399,000",
"Lenovo THINKPAD L14 AMD RYZEN 5 PRO 8GB RAM 256GB SSD 14"" FHD AMD RADEON GRAPHICS WINS 10 + Mouse","₦ 380,000","₦ 356,600",
Hp 15 Touchscreen 11th Gen Intel Core I5 12GB RAM/256GB SSD Win 11+ Mouse,"₦ 700,000","₦ 650,000",
"Lenovo Intel Celeron 4gb Ram 128gb Emmc, Wins 10 11.6"" Mini Laptop + Free Mouse","₦ 191,250","₦ 176,000",
Hp EliteBook 840 Intel Core I7- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 700,000","₦ 550,000",
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 214,999","₦ 103,000",3.9 out of 5(11)
