name,actual_price,discount_price,rating,brand,processor,ram,storage_type,storage_size
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,450000.0,360000.0,3.5,Hp,Intel Core,12GB RAM,SSD,12GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro +MOUSE,458000.0,385000.0,3.8,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,580000.0,370000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
"Hp 15 Touchscreen Intel Core I3-10110U,8GB,1TB HDD,Wins 10 + Free Mouse",499000.0,405000.0,4.3,Hp,Intel Core,,HDD,8GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,370000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
"DELL Precision 3561 11th Gen Intel Core I5 512 SSD,16GB RAM Backlit Keys Wins 10 Pro+ Free Bag",699000.0,690500.0,4.5,DELL,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,370000.0,4.5,Hp,Intel Core,12GB RAM,SSD,12GB
"Hp CHROMEBOOK 14 X360, TOUCHSCREEN,INTEL CELERON,4GB RAM,32GB SSD + KEYBOARD FLASHLIGHT",300000.0,200000.0,4.5,Hp,,4GB RAM,SSD,4GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,360000.0,4.2,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,500000.0,360000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
